method,projector_error,eigenvalue_mae,latency_ms,p95
kinetic_fourier25,0.04342457582994396,0.015995709496201015,105.554385149541,0.14657067621910638
sc_hybrid25,0.03178397487221702,0.009890265870490111,134.80836181358123,0.10568309118125198
sr_routed25,0.030928686501285243,0.009837347487336955,176.64045879694945,0.10568309118125198
